zone,day_cet,hours,gross_margin_eur,degradation_eur,net_margin_eur,charge_mwh,discharge_mwh,equivalent_full_cycles
DE-LU,2024-09-30,24,286.43843728039,46.46049894151541,239.97793833887465,5.16227766016838,4.646049894151542,2.448683298050514
DE-LU,2024-10-01,24,264.6711090325885,37.94733192202055,226.723777110568,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-02,24,138.9993561390903,37.94733192202055,101.05202421706974,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-03,24,121.79568239973361,27.973665961010273,93.82201643872332,3.1081851067789197,2.7973665961010274,1.4743416490252568
DE-LU,2024-10-04,24,194.3517247791118,37.94733192202055,156.40439285709132,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-05,24,241.09220692701987,37.94733192202055,203.14487500499936,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-06,24,211.89400210265836,28.460498941515414,183.43350316114294,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-10-07,24,423.11438682651914,37.94733192202055,385.16705490449857,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-08,24,214.3642877094842,37.94733192202055,176.41695578746362,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-09,24,176.8189989718722,37.94733192202055,138.87166704985162,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-10,24,246.37815049143632,46.94733192202055,199.43081856941575,5.216370213557839,4.6947331922020545,2.4743416490252566
DE-LU,2024-10-11,24,318.1356625543158,37.94733192202055,280.1883306322952,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-12,24,168.37235737699265,28.460498941515414,139.91185843547726,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-10-13,24,82.80114689026601,18.51316701949486,64.28797987077115,2.0570185577216513,1.851316701949486,0.9757295747452437
DE-LU,2024-10-14,24,470.6799407416306,37.94733192202055,432.73260881961005,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-15,24,303.47524469536216,37.94733192202055,265.5279127733416,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-16,24,271.048466876014,47.434164902525694,223.61430197348827,5.2704627669473,4.743416490252569,2.5
DE-LU,2024-10-17,24,332.2846877264647,37.94733192202055,294.3373558044442,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-18,24,255.70559785173944,37.94733192202055,217.75826592971887,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-19,24,119.86518578298617,28.460498941515414,91.40468684147075,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-10-20,24,185.06153558646767,28.973665961010276,156.08786962545742,3.219296217890031,2.8973665961010275,1.52704627669473
DE-LU,2024-10-21,24,346.8491247028059,37.94733192202055,308.90179278078534,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-22,24,259.90229715662923,37.94733192202055,221.95496523460866,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-23,24,362.59786644186045,37.94733192202055,324.6505345198399,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-24,24,219.5805253342923,37.94733192202055,181.63319341227174,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-25,24,288.9615425597838,37.94733192202055,251.01421063776328,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-26,24,166.65244721223007,28.460498941515414,138.19194827071465,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-10-27,25,172.90608652084165,28.460498941515414,144.44558757932623,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-10-28,24,123.95004536011565,37.94733192202055,86.00271343809509,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-29,24,366.18772144546614,37.94733192202055,328.2403895234456,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-30,24,187.99173392615933,37.94733192202055,150.04440200413876,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-10-31,24,138.51935066626186,37.94733192202055,100.57201874424129,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-01,24,135.78337846228843,27.973665961010273,107.80971250127814,3.1081851067789197,2.7973665961010274,1.4743416490252568
DE-LU,2024-11-02,24,106.03230525135967,27.973665961010276,78.05863929034939,3.1081851067789197,2.7973665961010274,1.4743416490252568
DE-LU,2024-11-03,24,117.06169150926888,28.460498941515414,88.60119256775349,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-11-04,24,375.2166596871027,37.94733192202055,337.2693277650822,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-05,24,786.5617207781494,37.94733192202055,748.6143888561288,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-06,24,1579.516732431118,37.94733192202055,1541.5694005090975,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-07,24,573.0373245064608,37.94733192202055,535.0899925844402,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-08,24,51.122934459927194,28.486832980505135,22.636101479422052,3.165203664500571,2.8486832980505135,1.5013879257199867
DE-LU,2024-11-09,24,61.37378359326209,18.973665961010276,42.400117632251806,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-10,24,59.939039080281134,18.973665961010276,40.96537311927085,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-11,24,70.94559008967948,18.973665961010276,51.9719241286692,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-12,24,399.6574708878427,37.94733192202055,361.7101389658221,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-13,24,203.69737147268583,18.973665961010276,184.72370551167555,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-14,24,78.65828778253285,18.973665961010276,59.68462182152257,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-15,24,79.92610691166796,18.973665961010276,60.952440950657675,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-16,24,73.97047813706709,18.973665961010276,54.996812176056835,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-17,24,123.69947519482974,37.46049894151541,86.23897625331432,4.162277660168379,3.7460498941515414,1.974341649025257
DE-LU,2024-11-18,24,193.16422304540782,37.94733192202055,155.21689112338726,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-19,24,105.37532457555814,18.973665961010276,86.40165861454786,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-20,24,136.68040256583384,37.94733192202055,98.73307064381328,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-21,24,136.45804273623799,18.973665961010276,117.48437677522769,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-22,24,156.33203265237358,47.434164902525694,108.89786774984788,5.270462766947299,4.743416490252569,2.5
DE-LU,2024-11-23,24,109.9184762046419,28.973665961010276,80.94481024363165,3.219296217890031,2.8973665961010275,1.52704627669473
DE-LU,2024-11-24,24,29.971869698506097,18.973665961010276,10.998203737495821,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-11-25,24,213.04412262038534,37.94733192202055,175.09679069836483,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-26,24,159.6123135366147,37.94733192202055,121.6649816145941,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-11-27,24,169.51607444981892,18.973665961010276,150.54240848880863,2.1081851067789197,1.8973665961010275,1.0
